page,claim_source_url,count
http://www.politifact.com/florida/statements/2011/aug/02/patrick-murphy/allen-west-challenger-says-he-has-raised-more-mone/,http://www.murphyforcongress.us/node/180,0
http://www.politifact.com/texas/statements/2015/nov/24/wendy-davis/wendy-davis-says-texas-lawmakers-cut-150000-women-/,http://kff.org/medicaid/state-indicator/births-financed-by-medicaid/,0
https://www.factcheck.org/2017/05/no-first-grandma-charges/,https://web.archive.org/web/20161026173831/http://thebostontribune.com/first-grandma-marian-robinson-receive-lifetime-160k-government-pension/,0
https://www.factcheck.org/2018/08/does-ocasio-cortez-have-ties-to-soros/,https://www.nytimes.com/2018/06/27/nyregion/alexandria-ocasio-cortez.html,0
https://www.factcheck.org/2018/07/yournewswire-hawks-false-fraud-headline/,https://web.archive.org/web/20180718134911/https://yournewswire.com/puerto-rico-mayor-fraud-disaster/,0
https://www.factcheck.org/2018/06/fake-sandra-bullock-quote-about-trump/,http://www.indiewire.com/2015/10/sandra-bullock-to-donald-trump-put-a-plug-in-it-56027/,0
https://www.factcheck.org/2017/10/trump-didnt-change-nfl-tax-status/,http://www.nflfoundation.org/faq,1
https://www.factcheck.org/2017/09/fake-mike-pence-abortion-quote/,https://www.nytimes.com/2016/03/25/us/indiana-governor-mike-pence-signs-abortion-bill.html?mcubz=1,0
https://www.factcheck.org/2018/07/mars-the-moon-and-a-fictional-cosmic-event/,https://www.space.com/30281-mars-hoax-moon-size-skywatching.html,0
https://www.factcheck.org/2018/02/no-federal-ban-smoking-children-car/,http://cbs6albany.com/news/local/vote-on-smoking-law-set-in-schenectady,0
https://www.factcheck.org/2017/07/no-obama-1-bill/,https://www.nytimes.com/2016/04/21/us/women-currency-treasury-harriet-tubman.html,0
https://www.factcheck.org/2017/11/no-muslim-child-marriage-montana/,https://web.archive.org/web/20171026182025/http://freedumjunkshun.com/muslim-judge-rules-muslim-man-can-marry-9-year-old-girl-in-montana/,0
https://www.factcheck.org/2017/09/false-headline-free-tuition/,http://www.kentucky.com/news/local/education/article145716629.html,0
https://www.factcheck.org/2017/06/false-maxine-waters-meetings-statistic/,https://teddystick.com/democrat-maxine-waters-has-shown-up-to-only-10-of-congressional-meetings-for-35-years/,0
https://www.factcheck.org/2017/03/fake-tom-price-quote/,http://web.archive.org/web/20170320221555/http://uspoln.com/2017/03/17/tom-price-better-budget-cancer-patients-die-quickly/,0
https://www.factcheck.org/2017/06/obama-didnt-scrap-officers-memorial-day/,https://obamawhitehouse.archives.gov/the-press-office/remarks-president-national-peace-officers-memorial,1
https://www.factcheck.org/2017/07/obama-didnt-attend-g-20-2017/,http://www.afpforum.com/AFPForum/Search/ViewMedia.aspx?mui=3&hid=68496262FAA53B679386421547A84A17FB50EB8CDBECF21BFC1F6B6FDC9D6C91&cck=a72a9d,0
